label,pixel_acc,iou,dice,precision,recall
ILSVRC2012_val_00001037,0.7370057106018066,0.5856048464775085,0.738651692867279,0.5856048464775085,1.0
ILSVRC2012_val_00023385,0.6714166402816772,0.6522536873817444,0.7895321249961853,0.7212089896202087,0.8721550107002258
ILSVRC2012_val_00022156,0.4029217064380646,0.23961928486824036,0.38660141825675964,0.7622931003570557,0.2589697241783142
ILSVRC2012_val_00003008,0.90625,0.7498138546943665,0.8570212721824646,0.7830482125282288,0.9464285969734192
ILSVRC2012_val_00004151,0.5091478228569031,0.33373910188674927,0.5004563331604004,0.9309538006782532,0.3422096371650696
ILSVRC2012_val_00015141,0.9137037396430969,0.6696925759315491,0.8021746873855591,0.8823115825653076,0.7353827953338623
ILSVRC2012_val_00024404,0.26217713952064514,0.17544211447238922,0.2985125482082367,0.9054023027420044,0.17871809005737305
ILSVRC2012_val_00033987,0.8074378371238708,0.7009779810905457,0.8242058157920837,0.9347915649414062,0.7370167970657349
ILSVRC2012_val_00020574,0.7741350531578064,0.7548190355300903,0.8602813482284546,0.92062908411026,0.8073585629463196
ILSVRC2012_val_00034773,0.9497767686843872,0.8275508284568787,0.9056391716003418,0.9666666388511658,0.8518596887588501
ILSVRC2012_val_00029496,0.9114118218421936,0.7910693287849426,0.8833486437797546,1.0,0.7910693287849426
ILSVRC2012_val_00029903,0.8647560477256775,0.6381765007972717,0.7791303396224976,0.9050967693328857,0.6839428544044495
ILSVRC2012_val_00046074,0.711336076259613,0.48674699664115906,0.6547812223434448,1.0,0.48674699664115906
ILSVRC2012_val_00007224,0.9524075388908386,0.5725026726722717,0.7281420826911926,0.5725026726722717,1.0
ILSVRC2012_val_00019042,0.6667330861091614,0.6358449459075928,0.7773902416229248,1.0,0.6358449459075928
ILSVRC2012_val_00007882,0.2961176633834839,0.23916415870189667,0.3860088288784027,1.0,0.23916415870189667
ILSVRC2012_val_00013797,0.7993463277816772,0.7033239006996155,0.8258252143859863,0.9873417615890503,0.7097234725952148
ILSVRC2012_val_00041612,0.6059470772743225,0.41689276695251465,0.5884605646133423,1.0,0.41689276695251465
ILSVRC2012_val_00035063,0.8640385866165161,0.7181923389434814,0.8359859585762024,1.0,0.7181923389434814
ILSVRC2012_val_00028677,0.8958665728569031,0.44462159276008606,0.6155543923377991,0.44685396552085876,0.9888888597488403
ILSVRC2012_val_00040121,0.5310905575752258,0.2568540871143341,0.408725380897522,0.9951052665710449,0.25717899203300476
ILSVRC2012_val_00003431,0.9092394709587097,0.8297633528709412,0.906962513923645,0.9121429920196533,0.9018405079841614
ILSVRC2012_val_00019972,0.5192721486091614,0.4258408546447754,0.5973188877105713,0.9783440828323364,0.4298930764198303
ILSVRC2012_val_00019989,0.8629822731018066,0.6727904677391052,0.8043929934501648,0.9870129823684692,0.6787995100021362
ILSVRC2012_val_00039025,0.9250637888908386,0.2483006864786148,0.39782190322875977,0.25518798828125,0.9019607901573181
ILSVRC2012_val_00033819,0.9617147445678711,0.7282500863075256,0.8427600860595703,0.8253968358039856,0.8608695864677429
ILSVRC2012_val_00004335,0.5404177308082581,0.4176914691925049,0.5892558097839355,1.0,0.4176914691925049
ILSVRC2012_val_00035171,0.8406608700752258,0.7836850881576538,0.8787258267402649,1.0,0.7836850881576538
ILSVRC2012_val_00039159,0.9190050959587097,0.7080879211425781,0.8291000723838806,0.9029126167297363,0.7664437890052795
ILSVRC2012_val_00031117,0.9651626348495483,0.8704801201820374,0.9307557940483093,0.918961226940155,0.9428571462631226
ILSVRC2012_val_00034665,0.8085538744926453,0.780780017375946,0.8768966794013977,0.9670426249504089,0.8021241426467896
ILSVRC2012_val_00023692,0.9548788070678711,0.7570815682411194,0.8617488741874695,0.9230769276618958,0.8080623149871826
ILSVRC2012_val_00002688,0.9166533946990967,0.40781646966934204,0.57936030626297,0.40781646966934204,1.0
ILSVRC2012_val_00038493,0.5999481678009033,0.3273348808288574,0.4932212233543396,1.0,0.3273348808288574
ILSVRC2012_val_00011677,0.894511342048645,0.8672634959220886,0.9289138913154602,0.9654932022094727,0.8950051665306091
ILSVRC2012_val_00009558,0.9610969424247742,0.552293598651886,0.7115839123725891,0.552293598651886,1.0
ILSVRC2012_val_00012895,0.9657007455825806,0.8019790649414062,0.8901091814041138,0.8416857719421387,0.9444444179534912
ILSVRC2012_val_00030120,0.689453125,0.49148228764533997,0.6590521335601807,0.997218906879425,0.49215686321258545
ILSVRC2012_val_00008316,0.7246691584587097,0.5671178698539734,0.7237718105316162,1.0,0.5671178698539734
ILSVRC2012_val_00009216,0.9059709906578064,0.7705029845237732,0.8703774809837341,0.9836065769195557,0.7805262804031372
ILSVRC2012_val_00011853,0.3611288368701935,0.24630865454673767,0.39526107907295227,1.0,0.24630865454673767
ILSVRC2012_val_00025818,0.9672154188156128,0.7941691875457764,0.8852779269218445,0.9990555644035339,0.794765830039978
ILSVRC2012_val_00026542,0.6423987746238708,0.5889912247657776,0.7413398027420044,1.0,0.5889912247657776
ILSVRC2012_val_00024056,0.7145248651504517,0.6983659267425537,0.8223974704742432,1.0,0.6983659267425537
ILSVRC2012_val_00027158,0.9427216053009033,0.3689064681529999,0.5389797687530518,0.3689064681529999,1.0
ILSVRC2012_val_00027161,0.9024234414100647,0.6457564830780029,0.7847533822059631,0.8928571343421936,0.699999988079071
ILSVRC2012_val_00038272,0.9037986397743225,0.8043531179428101,0.8915694952011108,0.8380843997001648,0.952346682548523
ILSVRC2012_val_00015751,0.8524792790412903,0.4957078695297241,0.6628404855728149,0.6746407151222229,0.6514459848403931
ILSVRC2012_val_00026030,0.5049824714660645,0.17899051308631897,0.30363351106643677,0.9049131274223328,0.1824215054512024
ILSVRC2012_val_00026600,0.5455994606018066,0.24747508764266968,0.39676156640052795,0.67500901222229,0.28095024824142456
ILSVRC2012_val_00037727,0.8238799571990967,0.7006639242172241,0.823988676071167,0.8671138286590576,0.7849498987197876
ILSVRC2012_val_00000395,0.8876953125,0.7123091816902161,0.831986665725708,0.8362001776695251,0.8278153538703918
ILSVRC2012_val_00019734,0.8331473469734192,0.71315997838974,0.8325666785240173,0.7775495052337646,0.8959624767303467
ILSVRC2012_val_00047551,0.8582589030265808,0.43743079900741577,0.6086286306381226,1.0,0.43743079900741577
ILSVRC2012_val_00022895,0.7776626348495483,0.28441309928894043,0.44286856055259705,0.9757922291755676,0.2864341139793396
